Date,Ticker,Close,Strategy,Short_Window,Long_Window,Raw_Signal,Position,Trade_Shares,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2022-06-21,MSFT,245.5018615722656,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-22,MSFT,244.91168212890625,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-23,MSFT,250.45562744140625,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-24,MSFT,259.0086364746094,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-27,MSFT,256.2898254394531,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-28,MSFT,248.1529235839844,MovingAverage,5,20,0,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-29,MSFT,251.8101806640625,MovingAverage,5,20,1,0,0,0,250735.6018486023,250735.6018486023,0.0,1.507356018486023
2022-06-30,MSFT,248.4915313720703,MovingAverage,5,20,1,1,1009,1009,7.646694183349609,250735.6018486023,0.0,1.507356018486023
2022-07-01,MSFT,251.15223693847656,MovingAverage,5,20,1,1,0,1009,7.646694183349609,253420.2537651062,0.01070710300695521,1.534202537651062
2022-07-05,MSFT,254.3161468505859,MovingAverage,5,20,1,1,0,1009,7.646694183349609,256612.63886642453,0.012597197950394712,1.5661263886642454
2022-07-06,MSFT,257.56707763671875,MovingAverage,5,20,1,1,0,1009,7.646694183349609,259892.82802963257,0.012782648499692462,1.5989282802963256
2022-07-07,MSFT,259.6859130859375,MovingAverage,5,20,1,1,0,1009,7.646694183349609,262030.7329978943,0.008226102214786701,1.6203073299789428
2022-07-08,MSFT,258.9699401855469,MovingAverage,5,20,1,1,0,1009,7.646694183349609,261308.31634140015,-0.00275699208344371,1.6130831634140015
2022-07-11,MSFT,255.92214965820312,MovingAverage,5,20,1,1,0,1009,7.646694183349609,258233.0956993103,-0.01176855250971831,1.5823309569931032
2022-07-12,MSFT,245.43414306640625,MovingAverage,5,20,1,1,0,1009,7.646694183349609,247650.69704818726,-0.04098002474262752,1.4765069704818727
2022-07-13,MSFT,244.51499938964844,MovingAverage,5,20,1,1,0,1009,7.646694183349609,246723.28107833862,-0.003744855075728637,1.4672328107833863
2022-07-14,MSFT,245.8308258056641,MovingAverage,5,20,1,1,0,1009,7.646694183349609,248050.94993209842,0.005381206215955947,1.4805094993209842
2022-07-15,MSFT,248.3851318359375,MovingAverage,5,20,0,1,0,1009,7.646694183349609,250628.2447166443,0.010390183086383509,1.5062824471664427
2022-07-18,MSFT,245.9953155517578,MovingAverage,5,20,0,0,-1009,0,248216.92008590698,248216.92008590698,-0.009621120849581444,1.4821692008590697
2022-07-19,MSFT,251.10389709472656,MovingAverage,5,20,0,0,0,0,248216.92008590698,248216.92008590698,0.0,1.4821692008590697
2022-07-20,MSFT,253.75494384765625,MovingAverage,5,20,0,0,0,0,248216.92008590698,248216.92008590698,0.0,1.4821692008590697
2022-07-21,MSFT,256.2414245605469,MovingAverage,5,20,0,0,0,0,248216.92008590698,248216.92008590698,0.0,1.4821692008590697
2022-07-22,MSFT,251.90687561035156,MovingAverage,5,20,0,0,0,0,248216.92008590698,248216.92008590698,0.0,1.4821692008590697
2022-07-25,MSFT,250.42657470703125,MovingAverage,5,20,1,0,0,0,248216.92008590698,248216.92008590698,0.0,1.4821692008590697
2022-07-26,MSFT,243.72161865234375,MovingAverage,5,20,1,1,1018,1018,108.31229782104492,248216.92008590698,0.0,1.4821692008590697
2022-07-27,MSFT,260.0148620605469,MovingAverage,5,20,1,1,0,1018,108.31229782104492,264803.44187545776,0.06682268792880941,1.6480344187545777
2022-07-28,MSFT,267.4358215332031,MovingAverage,5,20,1,1,0,1018,108.31229782104492,272357.9786186218,0.028528846489529913,1.7235797861862183
2022-07-29,MSFT,271.6252746582031,MovingAverage,5,20,1,1,0,1018,108.31229782104492,276622.8418998718,0.015659035593086124,1.7662284189987183
2022-08-01,MSFT,268.9838562011719,MovingAverage,5,20,1,1,0,1018,108.31229782104492,273933.877910614,-0.00972068673284443,1.73933877910614
2022-08-02,MSFT,265.8974609375,MovingAverage,5,20,1,1,0,1018,108.31229782104492,270791.92753219604,-0.011469740078820068,1.7079192753219603
2022-08-03,MSFT,273.29913330078125,MovingAverage,5,20,1,1,0,1018,108.31229782104492,278326.82999801636,0.027825432369746217,1.7832682999801635
2022-08-04,MSFT,274.4407653808594,MovingAverage,5,20,1,1,0,1018,108.31229782104492,279489.0114555359,0.004175599806629515,1.794890114555359
2022-08-05,MSFT,273.7248840332031,MovingAverage,5,20,1,1,0,1018,108.31229782104492,278760.2442436218,-0.002607498620853632,1.7876024424362185
2022-08-08,MSFT,271.2189636230469,MovingAverage,5,20,1,1,0,1018,108.31229782104492,276209.21726608276,-0.009151329969813049,1.7620921726608278
2022-08-09,MSFT,273.13458251953125,MovingAverage,5,20,1,1,0,1018,108.31229782104492,278159.31730270386,0.007060227953010312,1.7815931730270385
2022-08-10,MSFT,279.77191162109375,MovingAverage,5,20,1,1,0,1018,108.31229782104492,284916.1183280945,0.024291118812452384,1.8491611832809447
2022-08-11,MSFT,277.70135498046875,MovingAverage,5,20,1,1,0,1018,108.31229782104492,282808.29166793823,-0.007398060427486919,1.8280829166793824
2022-08-12,MSFT,282.4325866699219,MovingAverage,5,20,1,1,0,1018,108.31229782104492,287624.6855278015,0.01703059635011872,1.8762468552780152
2022-08-15,MSFT,283.9420166015625,MovingAverage,5,20,1,1,0,1018,108.31229782104492,289161.28519821167,0.005342377576494917,1.8916128519821167
