Date,Ticker,Close,RSI,Strategy,Buy_Threshold,Sell_Threshold,Raw_Signal,Position,Trade_Shares,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2024-09-23,AAPL,224.7849273681641,56.17484987292502,RSI,30.0,70.0,1,1,0,774,198.4944667816162,174182.02824974063,-0.007572650014854521,0.7418202824974063
2024-09-24,AAPL,225.67825317382812,61.26463610662828,RSI,30.0,70.0,1,1,0,774,198.4944667816162,174873.46242332458,0.003969606856297325,0.7487346242332458
2024-09-25,AAPL,224.68568420410156,57.02213386377261,RSI,30.0,70.0,1,1,0,774,198.4944667816162,174105.21404075623,-0.004393167333237913,0.7410521404075623
2024-09-26,AAPL,225.82713317871097,61.96425963484397,RSI,30.0,70.0,1,1,0,774,198.4944667816162,174988.6955471039,0.005074411534515377,0.749886955471039
2024-09-27,AAPL,226.0951232910156,62.20719821326669,RSI,30.0,70.0,1,1,0,774,198.4944667816162,175196.11989402768,0.0011853585528782684,0.7519611989402768
2024-09-30,AAPL,231.2663726806641,69.77598316925561,RSI,30.0,70.0,1,1,0,774,198.4944667816162,179198.66692161563,0.022846094023138308,0.7919866692161563
2024-10-01,AAPL,224.52688598632812,54.81941867527084,RSI,30.0,70.0,1,1,0,774,198.4944667816162,173982.30422019958,-0.02910938340684066,0.7398230422019958
2024-10-02,AAPL,225.09263610839844,55.37674947447228,RSI,30.0,70.0,1,1,0,774,198.4944667816162,174420.194814682,0.0025168685772101185,0.7442019481468201
2024-10-03,AAPL,223.9908905029297,54.1567989007772,RSI,30.0,70.0,1,1,0,774,198.4944667816162,173567.4437160492,-0.004889061725557919,0.735674437160492
2024-10-04,AAPL,225.11251831054688,65.84036850905701,RSI,30.0,70.0,1,1,0,774,198.4944667816162,174435.5836391449,0.005001744016671417,0.7443558363914489
2024-10-07,AAPL,220.04052734375,56.49522829829411,RSI,30.0,70.0,1,1,0,774,198.4944667816162,170509.86263084412,-0.022505276311179268,0.7050986263084411
2024-10-08,AAPL,224.09014892578125,56.701834229761374,RSI,30.0,70.0,1,1,0,774,198.4944667816162,173644.2697353363,0.018382556035941633,0.7364426973533631
2024-10-09,AAPL,227.8321228027344,51.00033142404927,RSI,30.0,70.0,1,1,0,774,198.4944667816162,176540.55751609805,0.016679431951173385,0.7654055751609805
2024-10-10,AAPL,227.33580017089844,51.26043635209354,RSI,30.0,70.0,1,1,0,774,198.4944667816162,176156.403799057,-0.0021760082920663226,0.7615640379905702
2024-10-11,AAPL,225.85690307617188,51.632417189443814,RSI,30.0,70.0,1,1,0,774,198.4944667816162,175011.73744773865,-0.006498011577393936,0.7501173744773866
2024-10-14,AAPL,229.5790100097656,55.46894654962608,RSI,30.0,70.0,1,1,0,774,198.4944667816162,177892.64821434018,0.016461243163544026,0.7789264821434019
2024-10-15,AAPL,232.11004638671875,59.97864661543109,RSI,30.0,70.0,1,1,0,774,198.4944667816162,179851.67037010193,0.011012384016012566,0.7985167037010192
